Common Name_Nom commun,Scientific Name_Nom scientifique,Specimen_Spécimen
Atlantic Herring,Clupea harengus,y
Atlantic Silverside,Menidia menidia,y
Rock Gunnel,Pholis gunnellus,y
Sand Lance,Ammodytes sp.,y
Tomcod,Microgadus tomcod,y
White Hake,Urophycis tenuis,y
Winter Flounder,Pseudopleuronectes americanus,y
Mackerel Scad,Decapterus macarellus,y
Threespined Stickleback,Gasterosteus aculeatus,y
Sculpin spp. (mostly Grubby),Cottidae,y
Ninespine Stickleback,Pungitius pungitius,y
Northern Puffer,Sphoeroides maculatus,y
Northern Sennet,Sphyraena sp.,y
Rough Scad,Trachurus lathami,y
Crevalle Jack,Caranx hippos,n
Blue Runner,Caranx crysos,y
Northern Pipefish,Syngnathus fuscus,n
Cunner,Tautogolabrus adspersus,n
Fourspine stickleback,Apeltes quadracus,y
Mummichogs,Fundulus heteroclitus,y
American Eel,Anguilla rostrata,n
Common lumpfish,Cyclopterus lumpus,y
River Herring,Alosa sp. ,y
