Sample ID_ID de l'échantillon,Site ID,Date,Sample Type_Type d'échantillon,Species_Espèces,Box_Boîte,Notes
EDNA19-001,WRK,2-Jul-19,Whole specimen,Polychaete - scale worm,1,
EDNA19-002,WRK,2-Jul-19,Fin clip,Flounder (winter?),1,
EDNA19-003,WRK,2-Jul-19,Whole specimen,White Hake,1,ID'd by D. Themelis
EDNA19-004,WRK,2-Jul-19,Whole specimen,Limpet,1,
EDNA19-005,TFH,11-Jul-19,Whole specimen,Three-spine stickleback,1,
EDNA19-006,TFH,11-Jul-19,Whole specimen,Three-spine stickleback,1,
EDNA19-007,WRK02,15-Jul-19,Whole specimen,Grubby Sculpin,1,
EDNA19-008,CON,29-Jul-19,Whole specimen,Three-spine stickleback,1,
EDNA19-009,CON,29-Jul-19,Whole specimen,Parasitic copepod,1,
EDNA19-010,CON,29-Jul-19,Whole specimen,Grubby Sculpin,1,
EDNA19-011,CON,29-Jul-19,Fin clip,Rock Gunnel,1,
EDNA19-012,CON,29-Jul-19,Fin clip,Atlantic Silverside,1,
EDNA19-013,CON,29-Jul-19,Whole specimen,Idoteidae,1,
EDNA19-014,CON,29-Jul-19,Fin clip,Tomcod,1,
EDNA19-015,TAE,30-Jul-19,Whole specimen,Idotea isopod,1,
EDNA19-016,TAW,12-Aug-19,Fin clip,Northern Pipefish,1,
EDNA19-017,TAW,12-Aug-19,Fin clip,Cunner,1,
EDNA19-018,TAW,12-Aug-19,Whole specimen,Northern Pufferfish,1,Likely northern puffer (ID'd by D. Themelis)
EDNA19-019,TAW,12-Aug-19,Whole specimen,Northern Pufferfish,1,Likely northern puffer (ID'd by D. Themelis)
EDNA19-020,TAW,12-Aug-19,Fin clip,Flounder (winter?),1,
EDNA19-021,TAW,12-Aug-19,Whole specimen,Mysidacea,1,
EDNA19-022,MOS,13-Aug-19,Whole specimen,Alosa sp.,1,Alosa pseudoharengus (alwife - D. Themelis is fairly certain)
EDNA19-023,MOS,13-Aug-19,Whole specimen,Alosa sp.,1,Alosa pseudoharengus (alwife - D. Themelis is fairly certain)
EDNA19-024,MOS,13-Aug-19,Whole specimen,Spotted Stickleback,1,Needs identifying
EDNA19-025,MOS,13-Aug-19,Whole specimen,Sculpin,1,Photos MOS 140-141
EDNA19-026,FAI,14-Aug-19,Whole specimen,Ninespine Stickleback,1,Check ID in lab
EDNA19-027,FAI,14-Aug-19,Whole specimen,Grubby Sculpin,1,FAI Photo 149
EDNA19-028,FAI,14-Aug-19,Whole specimen,Grubby Sculpin,1,
EDNA19-029,STA,1-Aug-17,Fin clip,Tomcod,1,Collected by Ben Zisserson in St Anns Bank
EDNA19-030,STA,1-Aug-17,Fin clip,Thorny Skate,1,Collected by Ben Zisserson in St Anns Bank
EDNA19-031,PLS,26-Aug-19,Whole specimen,Common Lumpfish,1,ID'd by D. Themelis
EDNA19-032,RSE,28-Aug-19,Whole specimen,Mummichog,1,Killifish species
EDNA19-033,RSE,28-Aug-19,Whole specimen,4spine stickleback,1,Doublecheck ID
EDNA19-034,RSE,28-Aug-19,Whole specimen,4spine stickleback,2,Doublecheck ID
EDNA19-035,RSE,28-Aug-19,Whole specimen,Winter flounder (?),1,Doublecheck ID
EDNA19-036,RSE,28-Aug-19,Whole specimen,Larval fish,1,Most likely a silverside according to Daphne
EDNA19-037,CAB,10-Sep-19,Fin clip,Large silverside or smelt,1,"Likely a silverside, but large and speckled"
EDNA19-038,CAB,10-Sep-19,Whole specimen,Grubby Sculpin,1,All Grubby Sculpin ID'd by D. Themelis
EDNA19-039,CAB,10-Sep-19,Whole specimen,Juvenile gadid,1,White Hake according to Daphne Themelis
EDNA19-040,FRK,26-Sep-19,Fin clip,Sculpin,1,Large sculpin
EDNA19-041,FRK,26-Sep-19,Fin clip,Cunner,1,"Larger, darker cunner"
EDNA19-042,,,,,1,
EDNA19-043,,,,,1,
EDNA19-044,,,,,1,
EDNA19-045,,,,,1,
EDNA19-046,,,,,1,
EDNA19-047,,,,,1,
EDNA19-048,,,,,1,
EDNA19-049,,,,,1,
EDNA19-050,,,,,1,
EDNA19-051,,,,,1,
EDNA19-052,,,,,1,
