Water Sample ID_ID de l'échantillon d'eau,Date,Site ID,Time collected_Durée de la collecte,Waypoint_Point de repère,Lat,Long,Depth_Profondeur_m,Datum,Notes
WRK_01,15-Jul-19,WRK,12:25 PM,N/A,44.6039,-63.5145,1.2,WGS84,Coordinates taken from Nick's Samsung S7
WRK_02,15-Jul-19,WRK,12:27 PM,N/A,44.604,-63.5148,1.2,WGS84,
WRK_03,15-Jul-19,WRK,12:30 PM,N/A,44.6042,-63.5152,1.1,WGS84,
CON_01,29-Jul-19,CON,10:48 AM,53,44.70122,-63.17831,0.8,WGS84,
CON_02,29-Jul-19,CON,10:53 AM,54,44.70144,-63.17811,1.1,WGS84,
CON_03,29-Jul-19,CON,10:56 AM,55,44.7016,-63.17786,1.2,WGS84,
TAE_01,30-Jul-19,TAE,11:50 AM,59,44.80966,-62.5602,5.2,WGS84,
TAE_02,30-Jul-19,TAE,11:54 AM,60,44.80996,-62.56029,5.2,WGS84,
TAE_03,30-Jul-19,TAE,11:56 AM,61,44.8103,-62.56049,5.1,WGS84,
TAW_01,12-Aug-19,TAW,10:40 AM,67,44.82067,-62.57228,1.9,WGS84,
TAW_02,12-Aug-19,TAW,10:43 AM,68,44.82061,-62.57196,1.6,WGS84,
TAW_03,12-Aug-19,TAW,10:46 AM,69,44.82043,-62.57151,1.8,WGS84,
MOS_01,13-Aug-19,MOS,11:28 AM,75,44.94156,-62.26538,1.3,WGS84,
MOS_02,13-Aug-19,MOS,11:30 AM,76,44.94182,-62.26517,0.9,WGS84,
MOS_03,13-Aug-19,MOS,11:32 AM,77,44.94205,-62.26487,1.3,WGS84,
FAI_01,14-Aug-19,FAI,12:11 PM,86,44.39223,-64.26772,1.1,WGS84,
FAI_02,14-Aug-19,FAI,12:15 PM,87,44.39244,-64.26763,0.7,WGS84,
FAI_03,14-Aug-19,FAI,12:17 PM,88,44.39274,-64.2673,1.2,WGS84,
PLS_01,26-Aug-19,PLS,9:47 AM,98,44.69286,-63.06961,1.1,WGS84,Corresponds to no seine
PLS_02,26-Aug-19,PLS,9:51 AM,99,44.69302,-63.06975,1.1,WGS84,Corresponds to seine 2
PLS_03,26-Aug-19,PLS,9:54 AM,100,44.69312,-63.06983,1.1,WGS84,Corresponds to Seine 1
RSE_01,28-Aug-19,RSE,10:54 AM,106,44.2864,-64.28421,0.8,WGS84,Corresponds to no seine (closest to wharf)
RSE_02,28-Aug-19,RSE,10:57 AM,107,44.28616,-64.28368,0.9,WGS84,Corresponds to seine 2
RSE_03,28-Aug-19,RSE,11:01 AM,108,44.28596,-64.28336,0.5,WGS84,Corresponds to seine 1
CAB_01,10-Sep-19,CAB,11:11 AM,120,44.74448,-62.79301,1.2,WGS84,Corresponds to Seine 2
CAB_02,10-Sep-19,CAB,11:14 AM,121,44.74424,-62.79277,0.8,WGS84,Corresponds to no seines (in between beaches)
CAB_03,10-Sep-19,CAB,11:16 AM,122,44.74419,-62.79242,0.5,WGS84,Corresponds to Seine 1
FRK_01,26-Sep-19,FRK,10:37 AM,138,44.59482,-63.94531,2.9,WGS84,Corresponds to Seine 2
FRK_02,26-Sep-19,FRK,10:42 AM,139,44.59488,-63.94492,3,WGS84,Corresponds to Seine 1
FRK_03,26-Sep-19,FRK,10:47 AM,140,44.59477,-63.94449,3.2,WGS84,Corresponds to no seine
